,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
30,-4.08783,-3.37195,0.624143,-257.251,3.69642,-93.3906,-76.0402,40.9484,53.3176,-11.0295,2354.08,171.533,76.6132,7021.87,2400.86,-67.0701,46.2761
31,-4.09432,-3.84932,0.62467,-248.559,12.1113,-84.4434,-70.8058,43.0259,55.3146,-11.3377,2354.1,173.083,74.9093,6742.74,2400.86,-66.5014,46.2758
32,-4.08698,-3.27485,0.624086,-256.997,3.38439,-95.5068,-73.4553,39.4892,52.7894,-7.96023,2354.03,169.034,78.0227,7321.89,2400.86,-67.0313,46.2761
33,-4.09511,-3.84932,0.624725,-249.029,12.963,-85.4596,-69.9798,42.7169,54.6883,-10.4822,2354.06,172.616,76.0172,6944.27,2400.86,-66.6125,46.2758
34,-4.08622,-3.20642,0.624031,-257.243,3.89853,-93.6292,-75.3546,40.8034,53.4062,-10.2683,2354.07,170.681,77.0688,7118.22,2400.86,-66.9286,46.2761
36,-4.08551,-3.16441,0.623982,-257.126,0.965492,-94.1782,-76.8041,39.6601,52.7225,-10.4205,2354.28,180.224,74.8067,6605.36,2400.87,-66.4141,46.276
37,-4.09657,-3.52472,0.624823,-248.818,12.3862,-85.2322,-70.3975,42.4278,54.5031,-10.7382,2354.13,175.862,75.3036,6774.75,2400.86,-66.5044,46.2758
38,-4.08485,-3.14999,0.623937,-257.604,0.577168,-95.4976,-76.0653,38.127,53.2856,-10.5827,2354.13,172.782,76.145,6932.74,2400.87,-66.6647,46.276
39,-4.09718,-3.39114,0.624865,-249.982,14.1984,-85.7168,-70.0087,42.9977,54.823,-10.1409,2354.08,175.119,76.5973,6992.67,2400.86,-66.6992,46.2759
40,-4.08428,-3.13588,0.623898,-257.826,0.825204,-96.5724,-75.9281,39.1319,51.5184,-10.2996,2354.1,171.176,76.5951,7038.07,2400.87,-66.9333,46.2761
41,-4.09773,-3.2866,0.624901,-249.477,12.619,-85.1906,-71.2276,42.9404,54.0836,-10.5448,2354.14,176.731,75.3456,6747.77,2400.86,-66.4579,46.2758
42,-4.08378,-3.14423,0.623866,-257.043,2.9813,-95.5054,-73.7049,38.2508,53.6113,-9.59854,2354.05,169.808,77.7473,7267.93,2400.87,-66.9868,46.2761
43,-4.09818,-3.2091,0.624931,-247.833,11.838,-84.8199,-69.7196,42.4286,54.4804,-9.23516,2354.08,171.851,74.6665,6704.44,2400.87,-66.5834,46.2758
44,-4.08336,-3.17898,0.62384,-256.643,1.38391,-93.94,-76.2358,39.9207,52.7232,-10.1083,2354.19,174.857,75.1812,6718.63,2400.87,-66.5734,46.276
45,-4.09853,-3.15978,0.624953,-249.663,12.9202,-85.1759,-71.2575,43.3887,54.2461,-10.8227,2354.03,170.987,75.9375,6932.18,2400.86,-66.7562,46.2759
46,-4.08305,-3.24151,0.62382,-255.282,2.01428,-93.3718,-74.4138,39.8783,53.3641,-9.0917,2354.26,178.486,75.0058,6667.36,2400.87,-66.3589,46.2759
47,-4.09881,-3.13676,0.62497,-249.715,13.6725,-86.7428,-68.7277,41.6544,55.2577,-10.1234,2353.97,168.266,77.334,7242.01,2400.86,-66.7606,46.2759
48,-4.08282,-3.33081,0.623808,-254.953,3.24677,-93.3733,-73.5581,39.6333,53.5811,-10.1134,2354.04,167.544,76.4454,7075.35,2400.87,-66.8869,46.276
49,-4.09898,-3.14119,0.624978,-249.803,11.9133,-85.7169,-71.6677,43.3369,53.5905,-10.9731,2354.09,173.074,75.3504,6803.32,2400.86,-66.5817,46.2759
50,-4.08271,-3.44881,0.623803,-254.967,3.97619,-92.9309,-73.3718,39.986,54.064,-10.1901,2354.11,171.808,76.2096,6972.0,2400.87,-66.8487,46.276
51,-4.09906,-3.15305,0.62498,-249.379,12.4282,-86.0926,-69.8257,42.544,54.8854,-10.3135,2354.09,173.616,75.9307,6902.83,2400.86,-66.6361,46.2758
52,-4.08268,-3.59508,0.623805,-255.228,5.37856,-92.6068,-73.3811,40.5653,53.2523,-9.36559,2354.14,174.861,76.5787,6968.65,2400.87,-66.9177,46.276
53,-4.09903,-3.18076,0.624974,-249.861,11.6796,-85.8466,-71.2666,43.2676,53.911,-9.849,2354.23,180.974,75.0875,6662.7,2400.87,-66.4048,46.2758
54,-4.08277,-3.77161,0.623814,-254.188,6.0906,-91.4124,-72.7797,41.5173,53.4794,-8.2868,2354.14,174.292,76.2461,6920.44,2400.87,-66.6353,46.276
55,-4.0989,-3.23403,0.624961,-250.729,12.4557,-86.0884,-71.1963,42.9591,55.4038,-11.1735,2354.02,170.33,76.6749,7084.04,2400.86,-66.9224,46.2759
56,-4.08294,-3.84932,0.62383,-253.604,6.436,-90.8813,-72.5311,40.969,53.9249,-9.61425,2354.17,176.487,75.8588,6845.07,2400.87,-66.5693,46.2759
57,-4.09867,-3.31595,0.624941,-250.782,11.755,-87.4403,-70.8707,42.8181,53.5114,-10.1087,2354.12,175.381,76.0827,6894.69,2400.86,-66.6762,46.2759
58,-4.08322,-3.84891,0.623854,-252.466,6.10845,-90.385,-71.71,40.5652,54.5982,-9.40678,2354.16,174.636,75.6809,6846.45,2400.87,-66.6325,46.2759
59,-4.09834,-3.42523,0.624914,-250.936,11.9528,-87.9001,-69.6313,42.0861,54.6599,-9.27404,2354.02,170.96,77.3908,7202.02,2400.86,-66.8921,46.2759
60,-4.0836,-3.84932,0.623883,-254.557,9.62715,-90.3184,-72.7003,42.7416,53.2207,-9.0539,2354.07,174.068,77.5012,7134.85,2400.86,-67.0388,46.276
61,-4.09793,-3.56343,0.624882,-250.547,9.47522,-86.102,-72.6535,42.8965,54.7527,-11.3908,2354.1,172.513,74.8675,6734.36,2400.87,-66.7341,46.2759
62,-4.08405,-3.84932,0.62392,-253.058,9.23154,-89.1556,-72.1905,42.5822,54.3078,-10.0672,2354.04,170.762,76.7969,7076.44,2400.86,-66.883,46.276
63,-4.09742,-3.73053,0.624842,-250.102,9.19715,-87.3725,-70.7166,41.7003,55.1479,-10.63,2354.13,173.383,75.1677,6778.02,2400.87,-66.3505,46.2759
64,-4.0846,-3.84932,0.623962,-252.101,8.37797,-88.447,-72.1569,41.4077,55.0145,-10.4659,2354.13,174.255,75.726,6856.74,2400.87,-66.5509,46.2759
65,-4.09683,-3.84932,0.624798,-252.043,10.1122,-88.1843,-72.0854,43.3579,53.6341,-9.86247,2354.1,173.889,76.0245,6888.46,2400.86,-66.8149,46.2759
66,-4.08521,-3.84932,0.62401,-251.397,9.16554,-87.4117,-72.0594,42.7389,54.772,-9.9525,2354.13,174.243,75.4773,6801.53,2400.87,-66.6011,46.2759
67,-4.09617,-3.84932,0.624748,-252.283,9.77638,-89.5317,-70.8389,42.2153,53.5612,-8.52145,2354.15,176.584,76.4535,6927.27,2400.87,-66.5648,46.2759
68,-4.0859,-3.84932,0.624062,-251.201,9.72443,-88.2851,-71.1753,42.6436,53.1709,-8.58046,2354.15,176.39,75.9181,6850.4,2400.87,-66.7287,46.2759
69,-4.09545,-3.84932,0.624694,-253.278,9.75621,-90.2601,-71.9519,43.2223,51.8489,-8.32489,2354.05,171.824,77.4113,7163.23,2400.86,-66.8865,46.276
70,-4.08666,-3.84891,0.624117,-251.432,11.3443,-88.2497,-70.2623,42.431,54.2401,-9.0775,2353.99,168.393,77.155,7181.55,2400.86,-67.0147,46.276
71,-4.09467,-3.83798,0.624636,-252.676,7.78898,-89.2674,-72.0939,41.5153,55.2114,-10.4016,2354.11,172.737,75.7679,6873.96,2400.87,-66.658,46.276
