,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2005,-2.24049,-0.66616,0.77552,-227.273,64.6819,-40.802,-100.369,-36.8386,30.9956,48.1972,1545.52,148.213,91.6682,10074.6,1587.98,-70.7199,47.454
2006,-2.20814,-0.179381,0.777568,-228.703,59.3004,-44.1831,-103.046,-38.4609,29.3075,47.6646,1545.65,152.58,89.5161,9497.79,1587.98,-70.1069,47.4542
2007,-2.18524,-0.660674,0.774918,-231.947,55.3261,-47.9339,-106.958,-40.7394,27.1845,45.4919,1545.7,154.053,89.4099,9433.85,1587.98,-70.4351,47.4543
2008,-2.21489,-0.452706,0.772572,-227.427,60.6803,-42.6252,-102.033,-38.4471,29.9358,47.2923,1545.62,151.426,89.5356,9547.15,1587.98,-70.3087,47.4541
2009,-2.24123,-0.666183,0.774973,-227.402,63.409,-40.7526,-100.835,-38.5561,30.6775,48.8259,1545.59,152.209,90.4537,9739.91,1587.98,-70.4628,47.454
2010,-2.21427,-0.1979,0.777573,-230.322,61.7725,-45.2603,-102.827,-38.1116,28.4786,47.4976,1545.5,145.66,92.5574,10293.0,1587.98,-70.8882,47.4542
2011,-2.18517,-0.66618,0.775465,-233.51,56.9965,-50.5601,-106.269,-40.31,25.7448,45.755,1545.55,146.449,92.7688,10314.6,1587.98,-71.0454,47.4544
2012,-2.20875,-0.529588,0.772625,-227.911,61.6515,-43.8388,-100.357,-39.0777,30.7919,48.0004,1545.59,150.291,91.1123,9920.64,1587.98,-70.4153,47.4541
2013,-2.24062,-0.666167,0.77443,-227.878,65.0833,-39.3547,-101.492,-36.8953,32.3056,47.4023,1545.58,152.468,90.9727,9845.57,1587.98,-70.7331,47.454
2014,-2.22036,-0.317546,0.77746,-229.022,62.7483,-43.7353,-101.093,-38.4603,30.7305,47.8039,1545.59,151.092,91.9289,10076.5,1587.98,-70.6542,47.4541
2015,-2.18644,-0.66617,0.775994,-231.777,54.8738,-50.0121,-105.712,-41.301,25.7731,46.1784,1545.64,150.411,90.6624,9792.99,1587.98,-70.3304,47.4543
2016,-2.20283,-0.567466,0.772796,-228.614,60.4659,-45.9622,-101.847,-37.8867,27.8104,46.864,1545.58,149.233,91.2647,9963.66,1587.98,-70.5315,47.4542
2017,-2.2387,-0.476176,0.773916,-227.536,63.906,-41.2243,-101.641,-36.863,30.6512,45.7146,1545.62,154.025,90.1973,9638.07,1587.98,-70.5418,47.454
2018,-2.22612,-0.49099,0.777232,-228.99,62.3129,-42.7799,-102.251,-38.6807,31.0786,45.7992,1545.58,150.402,91.2467,9947.64,1587.98,-70.6714,47.4541
2019,-2.18899,-0.561491,0.77648,-233.417,57.1761,-49.0004,-106.519,-40.9145,27.6829,44.9678,1545.55,146.798,92.593,10285.1,1587.98,-70.9879,47.4544
